0.7571,0.8857,1.0,0.9,0.8143,0.8286,0.7429,0.7571,0.7429,0.6,0.5429,0.4714,0.4143,0.3857,0.3429,0.2286,0.2,0.3571,0.1429,0.0833,0.0,0.0883,0.0316,0.2714,0.3429,0.9,0.1429,0.3714,0.5143,0.4571,0.5857,0.5571,0.6143,0.4714,0.5571,0.6429
0.6818,0.8182,0.8788,0.8182,0.6667,0.6212,0.5303,0.5909,0.8182,0.6818,0.6061,0.5455,0.4848,0.4394,0.3939,0.2576,0.2424,0.4242,0.197,0.1229,0.0936,0.0,0.0752,0.2727,0.3788,1.0,0.1008,0.3939,0.5,0.4697,0.3485,0.3636,0.3788,0.5152,0.5909,0.697
0.3115,0.459,0.5246,0.459,0.9016,0.9672,0.918,0.7049,0.8033,0.6557,0.5902,0.5082,0.4426,0.3934,0.3607,0.2295,0.1967,0.377,0.1357,0.0595,0.0362,0.0813,0.0,0.3607,0.459,1.0,0.1803,0.4918,0.6066,0.5738,0.4426,0.459,0.4754,0.623,0.7213,0.8197
0.4923,0.6462,1.0,0.6462,0.6462,0.6154,0.5231,0.5846,0.7231,0.8462,0.8923,0.8308,0.7692,0.7231,0.6769,0.5538,0.5385,0.7077,0.4769,0.4,0.2923,0.2769,0.3385,0.0,0.1423,0.4308,0.2154,0.1243,0.2462,0.2154,0.3692,0.3385,0.4,0.2923,0.3692,0.5231
0.52,0.6533,0.7467,0.6533,0.64,0.6133,0.5333,0.4933,0.6667,0.92,0.8533,0.8,0.7467,0.7067,0.6667,0.56,0.5467,0.6933,0.4933,0.4267,0.32,0.3333,0.3733,0.1233,0.0,1.0,0.2667,0.1467,0.2,0.2933,0.3867,0.36,0.4133,0.1467,0.2133,0.3067
0.7882,0.8471,0.9412,0.8941,0.3647,0.4118,0.4118,0.4941,0.3647,0.2941,0.3059,0.3529,0.4471,0.4353,0.4706,0.5647,0.5765,0.6588,0.7294,0.6706,0.7412,0.7765,0.7176,0.3294,0.8824,0.0,0.2,0.4235,0.5059,0.4824,0.5882,0.5882,0.5412,0.7765,0.5882,1.0
0.4667,0.6167,0.75,0.6333,0.9167,0.8833,0.7833,0.7833,1.0,0.85,0.7833,0.7,0.6333,0.6,0.5333,0.3833,0.3833,0.5833,0.3833,0.3,0.1667,0.1108,0.1833,0.2333,0.3333,0.2833,0.0,0.35,0.4833,0.45,0.6333,0.6,0.65,0.5,0.6,0.7
0.4035,0.5789,0.7018,0.5789,0.5965,0.5614,0.4386,0.7368,0.6842,0.807,0.8947,0.9649,1.0,0.9649,0.9123,0.7544,0.7368,0.9298,0.6667,0.5965,0.4561,0.4561,0.5263,0.1418,0.193,0.6316,0.3684,0.0,0.1312,0.0995,0.2807,0.2456,0.3158,0.2281,0.3333,0.5789
0.5231,0.6615,0.7692,0.6615,0.5846,0.5385,0.4462,0.5077,0.6615,0.7692,0.8308,0.9077,1.0,0.9538,0.9077,0.7846,0.7692,0.9385,0.7077,0.6308,0.5538,0.5077,0.5692,0.2462,0.2308,0.6615,0.4462,0.1151,0.0,0.1409,0.3077,0.2769,0.3231,0.1106,0.2,0.4
0.339,0.5085,0.6271,0.5085,0.4915,0.4407,0.339,0.4068,0.5763,0.6949,0.7797,0.8475,0.9661,0.9492,0.9661,0.8305,0.8136,1.0,0.7458,0.661,0.5424,0.5254,0.5932,0.2373,0.3729,0.6949,0.4576,0.0961,0.1553,0.0,0.1864,0.1531,0.2203,0.1595,0.2542,0.4915
0.2941,0.4265,0.5294,0.4265,0.3235,0.2794,0.1912,0.25,0.3971,0.5441,0.6176,0.6765,0.7353,0.7206,0.7647,0.5735,0.5735,1.0,0.5147,0.4559,0.6029,0.3382,0.3971,0.3529,0.4265,0.7353,0.5588,0.2353,0.2941,0.1618,0.0,0.035,0.0626,0.25,0.3382,0.5441
0.2273,0.3636,0.4697,0.3636,0.3333,0.2879,0.197,0.2576,0.3939,0.5455,0.6212,0.697,0.7576,0.7424,0.7879,0.8485,0.8333,1.0,0.7727,0.4848,0.5909,0.3636,0.4242,0.3333,0.4091,0.7576,0.5455,0.2121,0.2727,0.1368,0.0361,0.0,0.057,0.2273,0.3182,0.5303
0.1062,0.2656,0.375,0.2656,0.2812,0.25,0.1522,0.2188,0.3594,0.5,0.5938,0.6562,0.7344,0.7656,0.75,0.8906,0.9219,1.0,0.5781,0.5156,0.6719,0.3906,0.4531,0.4062,0.4844,0.7188,0.6094,0.2812,0.3281,0.2031,0.0666,0.0588,0.0,0.2969,0.3906,0.6094
